Aktionsname;Aktionsdatum;Durchführendes Konto;Aktionsnummer;Masternummer;Dateiname;Nebenrechnungen
Ae / Kommentare Kontengebarung;05.01.2021 20:26:00;31;98;272743;;
Ansehen Fernsehsendungen;05.01.2021 21:51:00;58;99;272744;;
Aufräumen;05.01.2021 21:54:00;71;100;272749;;
Bearb. Koordinaten Tier;06.01.2021 08:14:00;20;101;272759;;
Bearbeitung PSR-60 ROM Disassembly 1;06.01.2021 10:06:00;32;102;272761;;
Bearb. Playlist;06.01.2021 10:35:00;9;103;272766;;
Bearb. Playlist;08.02.2021 09:33:00;9;603;274460;;
Scootersuche;08.02.2021 19:01:00;20;604;274479;;
div. Surfen;08.02.2021 19:21:00;73;605;274483;;
Forge of Empires;08.02.2021 19:23:00;56;606;274484;;
Ansehen ZiB 1;08.02.2021 20:12:00;58;607;274485;;
Bearb. Koordinaten Tier;08.02.2021 20:14:00;20;608;274486;;
Ansehen YouTube-Videos;08.02.2021 20:16:00;73;609;274488;;
Erfassung Wünsche Jason Lux;08.02.2021 21:45:00;9;610;274490;;
Planung / AE;08.02.2021 22:13:00;31;611;274492;;
Scan div. Radiosender;09.02.2021 07:25:00;58;612;274498;;
Forge of Empires;09.02.2021 07:49:00;56;613;274499;;
Bearb. Koordinaten Tier;09.02.2021 09:19:00;20;614;274501;;
Bearbeitung Untersuchung der Prioritätenliste;09.02.2021 09:21:00;31;615;274504;;
div. Surfen;09.02.2021 09:47:00;73;616;274508;;
Forge of Empires;09.02.2021 16:18:00;56;617;274513;;
Ansehen YouTube-Videos;09.02.2021 16:27:00;73;618;274514;;
Einpacken Tonträger für Fahrt;09.02.2021 16:31:00;9;619;274517;;
Druck Einladung für Puls4-Show-Aufzeichnung;09.02.2021 16:50:00;10;620;274519;;
Besuch Puls4-Show-Aufzeichnung;09.02.2021 17:08:00;10;621;274521;;Taxifahrt wäre 15,7 km / 17' / zurück 16,5 km / 18' = Hinfahrt € 26,-, Rückfahrt € 29,- = Gesamt € 55,- + Zus.aufwand 5' je Strecke = 22' / 23' -> Ges.dauer 17:38-
Fahrt mit Lime-Scooter Rennweg;09.02.2021 22:47:00;20;622;274522;;"tatsächlich 22:01-22:07, tatsächlich wird hier ganze Fahrt ""verkauft"": Taxifahrt wäre 15,7 km / 17' / zurück 16,5 km / 18' = Hinfahrt € 26,-, Rückfahrt € 29,- = Gesamt € 55,- + Zus.aufwand 7' je Strecke  = 24' / 25' -> Ges.dauer 17:36-21:55, hier um 28 + 52' länger, Kosten € 4,80 für Fahrscheine; Kosten für Lime-Scooter (€ 2,75) wird bei Kreditkarte verrechnet"
Anhören RW-Programm;09.02.2021 22:49:00;9;623;274525;;
Forge of Empires;09.02.2021 22:51:00;56;624;274527;;
Ansehen YouTube-Videos;09.02.2021 23:00:00;73;625;274528;;
Surfen Corona-Infektionen;10.02.2021 08:04:00;73;626;274536;;
div. Surfen;10.02.2021 08:07:00;73;627;274537;;
Scan div. Radiosender;10.02.2021 08:11:00;58;628;274538;;
Forge of Empires;10.02.2021 08:32:00;56;629;274540;;
Bearb. Koordinaten Tier;10.02.2021 09:38:00;20;630;274543;;
Aufwandserfassung;10.02.2021 09:40:00;31;631;274544;;
Scootersuche;10.02.2021 18:48:00;20;632;274561;;
Diskussion Partenwunsch Franzi;10.02.2021 18:55:00;40;633;274563;;
Forge of Empires;10.02.2021 19:08:00;56;634;274564;;
div. Surfen;10.02.2021 19:23:00;73;635;274565;;
Ansehen YouTube-Videos;10.02.2021 19:27:00;73;636;274566;;
Ansehen ZiB 1;10.02.2021 21:37:00;58;637;274570;;
Aufwandserfassung;10.02.2021 22:34:00;31;638;274574;;
Analyse Wellenformen Edi's Orgel;10.02.2021 23:01:00;32;639;274576;;
Bearb. Koordinaten Tier;10.02.2021 23:15:00;20;640;274580;;
div. Surfen;11.02.2021 07:53:00;73;641;274586;;
Scan div. Radiosender;11.02.2021 08:02:00;58;642;274587;;
Forge of Empires;11.02.2021 08:34:00;56;643;274589;;
Bearb. Koordinaten Tier;11.02.2021 09:51:00;20;644;274591;;
Ansehen YouTube-Videos;11.02.2021 09:53:00;73;645;274594;;
Bearbeitung Untersuchung der Prioritätenliste;11.02.2021 09:55:00;31;646;274597;;
Begutachtung Unterlagen Kurti-Opa für Franzi;11.02.2021 15:04:00;40;647;274600;;
Ansehen YouTube-Videos;11.02.2021 17:59:00;73;648;274606;;
Ansehen ZiB 1;11.02.2021 20:15:00;58;649;274610;;
Telefonate Franzi / Andrea / Papa Ahnenforschung;11.02.2021 20:19:00;40;650;274612;;
Forge of Empires (8 + 14');11.02.2021 20:51:00;56;651;274613;;
Bearb. Koordinaten Tier;11.02.2021 21:13:00;20;652;274614;;
Aufwandserfassung;11.02.2021 21:19:00;31;653;274615;;
Bearb. Playlist;11.02.2021 21:42:00;9;654;274617;;
div. Surfen;12.02.2021 07:38:00;73;655;274626;;
Scan div. Radiosender;12.02.2021 07:47:00;58;656;274628;;
Forge of Empires (57' + 19');12.02.2021 08:44:00;56;657;274633;;
Teilnahme an falschem Faschingsgschnas;12.02.2021 17:00:00;36;658;274638;;genauer Ablauf nicht mehr bekannt
div. Surfen;12.02.2021 19:03:00;73;659;274641;;
Forge of Empires;12.02.2021 19:08:00;56;660;274642;;
Ansehen ZiB 1;12.02.2021 20:34:00;58;661;274645;;
Forge of Empires;16.02.2021 08:49:00;56;722;274827;;
Bearbeitung Untersuchung der Prioritätenliste.doc;16.02.2021 09:47:00;31;723;274835;;
Faschingsfeier BRZ;16.02.2021 17:00:00;36;724;274841;;
Scootersuche;16.02.2021 20:45:00;20;725;274844;;
div. Surfen;16.02.2021 20:56:00;73;726;274847;;
Forge of Empires;16.02.2021 20:58:00;56;727;274848;;
Bearb. Playlist;16.02.2021 21:50:00;9;728;274849;;
Scan Radio Plattenkiste Faschingsparty;16.02.2021 21:51:00;58;729;274850;;
div. Surfen;17.02.2021 08:17:00;73;730;274860;;
Scan div. Radiosender;17.02.2021 08:34:00;58;731;274861;;
Forge of Empires (31 + 16');17.02.2021 09:33:00;56;732;274866;;
Bearbeitung Batterienpool;17.02.2021 10:20:00;9;733;274869;;
Scootersuche;17.02.2021 18:24:00;20;734;274877;;
Forge of Empires;17.02.2021 18:48:00;56;735;274880;;
div. Surfen;17.02.2021 19:24:00;73;736;274881;;
Ansehen YouTube-Videos;17.02.2021 19:31:00;73;737;274882;;
Hero Wars;17.02.2021 20:30:00;56;738;274883;;
Ansehen ZiB 1;17.02.2021 20:34:00;58;739;274884;;
Aufwandserfassung;17.02.2021 21:27:00;31;740;274888;;
Scan Jason Lux Livestream;17.02.2021 22:14:00;58;741;274890;;
div. Surfen;18.02.2021 07:33:00;73;742;274895;;
Scan Radio Plattenkiste Faschingsparty;18.02.2021 07:39:00;58;743;274897;;
Forge of Empires (23' + 25');18.02.2021 08:43:00;56;744;274898;;
Scootersuche (in ÖBB-Gelände);18.02.2021 18:49:00;20;745;274918;;
Bearb. Playlist;18.02.2021 19:09:00;9;746;274921;;
Ansehen YouTube-Videos;18.02.2021 19:19:00;73;747;274923;;
Forge of Empires;18.02.2021 19:52:00;56;748;274924;;
Ansehen ZiB 1;18.02.2021 20:36:00;58;749;274925;;
Scan Jason Lux Livestream;18.02.2021 21:41:00;58;750;274930;;
Aufwandserfassung;18.02.2021 21:58:00;31;751;274932;;
div. Surfen;19.02.2021 07:45:00;73;752;274940;;
Scan div. Radiosender;19.02.2021 07:52:00;58;753;274942;;
Forge of Empires (32+10');19.02.2021 08:17:00;56;754;274944;;
Bearb. Playlist;19.02.2021 09:54:00;9;755;274947;;
Bearbeitung Untersuchung der Prioritätenliste;19.02.2021 09:56:00;31;756;274952;;
Besprechung Doku Prioritätenliste;19.02.2021 14:00:00;31;757;274957;;
Scootersuche (Update Training) / Probefahrt Traktor;19.02.2021 18:50:00;20;758;274961;;
Forge of Empires;19.02.2021 19:03:00;56;759;274964;;
Ansehen ZiB 1;19.02.2021 19:43:00;58;760;274965;;
Ansehen YouTube-Videos;19.02.2021 19:45:00;73;761;274966;;
Suche verlorenes Handy;19.02.2021 20:33:00;20;762;274968;;
Bearb. Koordinaten Tier;19.02.2021 21:46:00;20;763;274972;;
Aufwandserfassung;19.02.2021 22:05:00;31;764;274973;;
Bearb. Playlist;19.02.2021 22:22:00;9;765;274975;;
Scan Jason Lux Livestream;19.02.2021 22:27:00;58;766;274976;;
Forge of Empires (18 + 24');20.02.2021 07:58:00;56;767;274986;;
Bearb. Playlist;20.02.2021 08:40:00;9;768;274987;;
div. Surfen;20.02.2021 10:17:00;73;769;274989;;
Div. Radioscans;20.02.2021 11:06:00;58;770;274991;;
Scan / Versand Theaterstück Ronald;20.02.2021 12:00:00;40;771;274997;;
Bearbeitung Mails;20.02.2021 12:35:00;73;772;275004;;
Bearb. Koordinaten Tier;20.02.2021 13:35:00;20;773;275007;;
Bearbeitung Musikumfrage Ö3;20.02.2021 14:00:00;58;774;275010;;
Scootersuche (Trillerpark u.a.);20.02.2021 16:09:00;20;775;275016;;
Forge of Empires (17 + 7' + 14');20.02.2021 16:15:00;56;776;275019;;
div. Surfen;20.02.2021 16:53:00;73;777;275020;;
Div. Radioscans;20.02.2021 17:19:00;58;778;275021;;
Bearbeitung Mails;20.02.2021 19:01:00;73;779;275025;;
Aufwandserfassung;20.02.2021 19:19:00;31;780;275026;;
Bearb. Playlist;20.02.2021 20:19:00;9;781;275027;;
Aufräumen;27.01.2021 22:21:00;71;426;273861;;
div. Surfen;27.01.2021 22:24:00;73;427;273864;;
Bearb. Koordinaten Tier;27.01.2021 22:30:00;20;428;273866;;
div. Surfen;28.01.2021 07:25:00;73;429;273873;;
Scan div. Radiosender;28.01.2021 07:32:00;58;430;273874;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;28.01.2021 08:01:00;32;431;273878;;
Ansehen YouTube-Videos;28.01.2021 16:30:00;73;432;273897;;
Bearbeitung Play Card System;28.01.2021 17:10:00;32;433;273898;;
Forge of Empires;28.01.2021 18:45:00;56;434;273901;;
Bearb. Koordinaten Tier;28.01.2021 20:09:00;20;435;273906;;
AE / Kommentare Kontengebarung;28.01.2021 20:15:00;31;436;273907;;
Ansehen Fernsehsendungen;28.01.2021 21:17:00;58;437;273909;;
Einspielen div. Titel;28.01.2021 21:25:00;79;438;273916;;
Anhören RW-Programm;28.01.2021 22:40:00;9;439;273919;;
div. Surfen;28.01.2021 22:42:00;73;440;273920;;
Aufräumen;28.01.2021 22:46:00;71;441;273922;;
Forge of Empires;29.01.2021 08:31:00;56;442;273928;;
Scan div. Radiosender;29.01.2021 09:19:00;58;443;273929;;
div. Surfen;29.01.2021 09:55:00;73;444;273932;;
Scootersuche;29.01.2021 17:47:00;20;445;273941;;
div. Surfen;29.01.2021 17:53:00;73;446;273945;;
Ansehen YouTube-Videos;29.01.2021 18:09:00;73;447;273946;;
AE / Kommentare Kontengebarung / Window Logger;29.01.2021 19:44:00;31;448;273949;;
Ansehen ZiB 1;29.01.2021 20:47:00;58;449;273950;;
Bearb. Playlist;29.01.2021 21:06:00;9;450;273954;;
Einspielen div. Titel;29.01.2021 21:10:00;79;451;273959;;
Forge of Empires (2 Sessions);29.01.2021 22:12:00;56;452;273963;;
Surfen Corona-Infektionen;30.01.2021 07:53:00;73;453;273969;;
div. Surfen;30.01.2021 07:56:00;73;454;273970;;
Forge of Empires;30.01.2021 08:27:00;56;455;273973;;
Scan div. Radiosender;30.01.2021 12:00:00;58;456;273981;;
Versuch Druckerrepatatur;30.01.2021 13:06:00;46;457;273983;;
Bearbeitung Mails;30.01.2021 13:49:00;73;458;273992;;
Scootersuche;30.01.2021 17:03:00;20;459;274005;;
div. Surfen;30.01.2021 17:06:00;73;460;274009;;
div. Radioscans;30.01.2021 17:29:00;58;461;274010;;
Forge of Empires;30.01.2021 18:38:00;56;462;274011;;
Bearb. Koordinaten Tier;30.01.2021 19:21:00;20;463;274012;;
Bearbeitung Mails;30.01.2021 20:02:00;73;464;274014;;
Wunschmail an Plattenkiste;30.01.2021 20:50:00;58;465;274016;;
Ansehen YouTube-Videos;30.01.2021 20:59:00;73;466;274019;;
Ansehen ZiB 1;30.01.2021 21:17:00;58;467;274020;;
AE / Korr.lesen Kommentare Kontengebarung;30.01.2021 21:19:00;31;468;274022;;
Bearb. Playlist;30.01.2021 22:19:00;9;469;274025;;
Druckerwartung;30.01.2021 23:15:00;46;470;274034;;
div. Surfen;31.01.2021 07:44:00;73;471;274039;;
Bearbeitung Untersuchung der Prioritätenliste;31.01.2021 08:00:00;31;472;274042;;
Forge of Empires;31.01.2021 08:17:00;56;473;274046;;
Scan div. Radiosender;31.01.2021 09:26:00;58;474;274047;;
Druckerreinigung;31.01.2021 11:38:00;46;475;274050;;
Anhören RW-Programm;31.01.2021 11:52:00;9;476;274053;;
Eingabe LP's;31.01.2021 11:57:00;9;477;274055;;
Themen für Mittagessen;31.01.2021 12:43:00;31;478;274062;;
Scootersuche;31.01.2021 15:07:00;20;479;274067;;
PC aussaugen;31.01.2021 15:12:00;46;480;274070;;
div. Surfen;31.01.2021 15:43:00;73;481;274071;;
Forge of Empires (95' + 6');31.01.2021 16:11:00;56;482;274072;;
Scan div. Radiosender;31.01.2021 17:52:00;58;483;274074;;
Bearbeitung Mails;31.01.2021 19:58:00;73;484;274078;;
Musikwunsch Plattenkiste;31.01.2021 20:12:00;58;485;274080;;
Musikwunsch Musikwelle;31.01.2021 20:17:00;58;486;274084;;
Bearb. Playlist;31.01.2021 20:22:00;9;487;274085;;
Bearb. Koordinaten Tier;31.01.2021 20:25:00;20;488;274087;;
AE / Kommentare Kontengeb.;31.01.2021 20:29:00;31;489;274090;;
Forge of Empires;31.01.2021 21:51:00;56;490;274092;;
Ansehen ZiB 1 u.a.;31.01.2021 23:04:00;58;491;274096;;
Posting Zeiten Atariage;31.01.2021 23:05:00;56;492;274098;;
Verbuchung Eltern-Gebühren;31.01.2021 23:19:00;38;493;274095;;
Surfen Corona-Infektionen;01.02.2021 07:36:00;73;494;274102;;
Scan div. Radiosender;01.02.2021 07:38:00;58;495;274104;;
Ermittlung Gesamtzeit für geplante Projekte;01.02.2021 08:19:00;31;496;274108;;
Evaluation Hörwerte / Radiosender;01.02.2021 08:37:00;9;497;274110;;
div. Surfen;01.02.2021 09:05:00;73;498;274112;;
Forge of Empires;01.02.2021 09:43:00;56;499;274119;;
Scootersuche (Verbindungsbahn);01.02.2021 18:28:00;20;500;274133;;
div. Surfen;01.02.2021 18:50:00;73;501;274136;;
Forge of Empires;01.02.2021 19:02:00;56;502;274137;;
Ansehen Fernsehsendungen;01.02.2021 20:14:00;58;503;274138;;
Ansehen YouTube-Videos;01.02.2021 20:37:00;73;504;274141;;
Aufwandserfassung;01.02.2021 21:06:00;31;505;274144;;
Einspielen div. Titel;01.02.2021 22:20:00;79;506;274150;;
div. Surfen;02.02.2021 07:55:00;73;507;274156;;
Scan div. Radiosender;02.02.2021 07:59:00;58;508;274157;;
Anhören RW-Programm;02.02.2021 09:07:00;9;509;274160;;
Forge of Empires (14' + 24');02.02.2021 09:10:00;56;510;274164;;
Dokumentation Prioritätsliste;02.02.2021 10:09:00;31;511;274166;;
Lesen Service Manual Yamaha PC-100;02.02.2021 17:58:00;32;512;274173;;
Scootersuche;02.02.2021 19:15:00;20;513;274176;;
Bearb. Playlist;02.02.2021 19:19:00;9;514;274179;;
Ansehen ZiB 1;02.02.2021 20:11:00;58;515;274183;;
Forge of Empires;02.02.2021 20:16:00;56;516;274184;;
Bearb. Koordinaten Tier;02.02.2021 20:27:00;20;517;274186;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;02.02.2021 20:29:00;32;518;274188;;
Ansehen YouTube-Videos;02.02.2021 21:16:00;73;519;274189;;
AE / Kommentare Kontengebarung;02.02.2021 21:55:00;31;520;274197;;
div. Surfen;02.02.2021 23:13:00;73;521;274201;;
div. Surfen;03.02.2021 05:56:00;73;522;274206;;
Scan div. Radiosender;03.02.2021 06:03:00;58;523;274208;;
Forge of Empires;03.02.2021 06:40:00;56;524;274209;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;03.02.2021 07:24:00;32;525;274211;;
Zusenden CURL-Aufruf an BRZ;03.02.2021 10:34:00;32;526;274224;;
Bearb. Koordinaten Tier;03.02.2021 10:37:00;20;527;274225;;
Dichtungswechsel Dusche (Warmwasser);03.02.2021 18:07:00;71;528;274231;;nicht besonders erfolgreich, da sich Warmwasser nicht ganz abdrehen läßt
div. Surfen;03.02.2021 19:02:00;73;529;274235;;
Bearbeitung Mails;03.02.2021 19:08:00;73;530;274236;;
Ansehen YouTube-Videos;03.02.2021 19:09:00;73;531;274237;;
Forge of Empires;03.02.2021 20:23:00;56;532;274238;;
Ansehen ZiB 1;03.02.2021 20:45:00;58;533;274240;;
VICE Joust;03.02.2021 21:39:00;56;534;274242;;
AE / Kommentare Kontengebarung;03.02.2021 21:47:00;31;535;274243;;
Bearbeitung Playcard Analyzing\Ablauf Einlesen Playcard;03.02.2021 22:28:00;32;536;274244;;
div. Surfen;04.02.2021 07:38:00;73;537;274253;;
Scan div. Radiosender;04.02.2021 07:44:00;58;538;274254;;
Forge of Empires;04.02.2021 08:09:00;56;539;274257;;
Aufwandserfassung;04.02.2021 10:04:00;31;540;274264;;
Bearbeitung Untersuchung der Prioritätenliste.doc;04.02.2021 10:10:00;31;541;274268;;
Suche / Aufrichten TIER-Scooter;04.02.2021 18:30:00;20;542;274276;;
Anhören RW-Programm (mit Papa);04.02.2021 18:46:00;9;543;274279;;
div. Surfen;04.02.2021 18:50:00;73;544;274280;;
Ansehen YouTube-Videos;12.02.2021 20:39:00;73;662;274646;;
MAME Channel F Pac-Man;12.02.2021 22:02:00;56;663;274647;;
Aufwandserfassung;12.02.2021 22:53:00;31;664;274650;;
Bearb. Koordinaten Tier;12.02.2021 23:14:00;20;665;274651;;
div. Surfen;13.02.2021 09:01:00;73;666;274658;;
Bearb. Koordinaten Tier;13.02.2021 10:06:00;20;667;274666;;
Aufwandserfassung;13.02.2021 10:08:00;31;668;274667;;
Scan div. Radiosender;13.02.2021 10:09:00;58;669;274668;;
Forge of Empires;13.02.2021 10:54:00;56;670;274671;;
Anhören RW-Programm;13.02.2021 11:24:00;9;671;274678;;
Ermittlung Musikwünsche für versch. Radiosender;13.02.2021 12:04:00;9;672;274681;;
Ansehen YouTube-Videos;13.02.2021 12:42:00;73;673;274682;;
Bearbeitung Mails;13.02.2021 13:58:00;73;674;274683;;
Scootersuche;13.02.2021 17:10:00;20;675;274691;;
div. Surfen;13.02.2021 17:22:00;73;676;274694;;
Ansehen YouTube-Videos;13.02.2021 18:08:00;73;677;274695;;
Scan div. Radiosender;13.02.2021 19:11:00;58;678;274697;;
Forge of Empires;13.02.2021 20:02:00;56;679;274699;;
Bearb. Koordinaten Tier;13.02.2021 20:53:00;20;680;274701;;
Musikwunsch Plattenkiste;13.02.2021 21:11:00;58;681;274703;;
Ansehen ZiB 1;13.02.2021 21:17:00;58;682;274704;;
Bearbeitung Mails;13.02.2021 21:20:00;73;683;274705;;
Bearb. Playlist;13.02.2021 22:00:00;9;684;274708;;
Aufwandserfassung;13.02.2021 22:03:00;31;685;274711;;
div. Surfen;14.02.2021 10:15:00;73;686;274723;;
Scan div. Radiosender;14.02.2021 10:35:00;58;687;274724;;
Forge of Empires (7 + 18 + 13');14.02.2021 11:20:00;56;688;274727;;
Ansehen YouTube-Videos;14.02.2021 11:58:00;73;689;274729;;
Anhören RW-Programm;14.02.2021 12:04:00;9;690;274732;;
Bearbeitung Mails;14.02.2021 12:11:00;73;691;274734;;
Themen für Mittagessen;14.02.2021 12:54:00;31;692;274739;;
div. Surfen;14.02.2021 16:14:00;73;693;274747;;
Ansehen YouTube-Videos;14.02.2021 16:39:00;73;694;274748;;
Forge of Empires (2x23' + 3');14.02.2021 17:27:00;56;695;274749;;
Scan div. Radiosender;14.02.2021 18:59:00;58;696;274751;;
Bearbeitung Mails;14.02.2021 20:38:00;73;697;274756;;
Aufwandserfassung;14.02.2021 21:22:00;31;698;274762;;
Posting Zeiten Atariage;14.02.2021 23:09:00;56;699;274765;;
div. Surfen;15.02.2021 07:40:00;73;700;274776;;
Scan div. Radiosender;15.02.2021 07:44:00;58;701;274778;;
Forge of Empires;15.02.2021 08:30:00;56;702;274779;;
Ermittlung Gesamtzeit für geplante Projekte;15.02.2021 09:06:00;31;703;274781;;
Bearb. Koordinaten Tier;15.02.2021 09:15:00;20;704;274783;;
Bearb. Playlist;15.02.2021 09:17:00;9;705;274788;;
Bearbeitung Untersuchung der Prioritätenliste;15.02.2021 09:20:00;31;706;274791;;
Scootersuche;15.02.2021 18:41:00;20;707;274801;;
Diskussion mit Papa;15.02.2021 18:49:00;38;708;274803;;
div. Surfen;15.02.2021 18:58:00;73;709;274805;;
Forge of Empires;15.02.2021 19:07:00;56;710;274806;;
Ansehen YouTube-Videos;15.02.2021 19:40:00;73;711;274808;;
Ansehen ZiB 1;15.02.2021 20:35:00;58;712;274809;;
Aufwandserfassung;15.02.2021 21:06:00;31;713;274813;;
Bearb. Playlist, Hörwerte;15.02.2021 22:13:00;9;714;274814;;
Scan Hannah Dorman Livestream;15.02.2021 22:16:00;58;715;274815;;
Halbmon. Abrechnung;15.02.2021 23:19:00;71;716;274818;;
Halbmon. Abrechnung Teil 2;15.02.2021 23:20:00;71;717;274819;;
div. Surfen;16.02.2021 08:08:00;73;718;274821;;
Evaluation Hörwerte;16.02.2021 08:15:00;9;719;274823;;
Update Radiowertungen;16.02.2021 08:31:00;58;720;274824;;
Scan div. Radiosender;16.02.2021 08:40:00;58;721;274825;;
Surfen Atariage;20.02.2021 20:25:00;56;782;275028;;
Ansehen YouTube-Videos;20.02.2021 20:45:00;73;783;275030;;
Bearb. Koordinaten Tier;20.02.2021 21:16:00;20;784;275031;;
Abgabe Musikwunsch ISW;20.02.2021 21:37:00;58;785;275033;;
Scan Elsie Miles Livestream;20.02.2021 21:41:00;58;786;275034;;
Ansehen Fernsehsendungen;20.02.2021 21:46:00;58;787;275035;;
Ansehen Theaterstück Ronald;20.02.2021 21:49:00;40;788;275037;;
Scan Elsie Miles Livestream;20.02.2021 21:53:00;58;789;275041;;
Einst. Laptop / Musikwunsch DX-Wunschkonz.;20.02.2021 21:59:00;58;790;275042;;per Skype?
Scan Theaterstück Kurti-Opa;21.02.2021 08:11:00;40;791;275047;;
Scan div. Radiosender;21.02.2021 09:53:00;58;792;275048;;
Bearbeitung Untersuchung der Prioritätenliste;21.02.2021 10:34:00;31;793;275052;;
Forge of Empires (10' + 26');21.02.2021 10:48:00;56;794;275054;;
div. Surfen;21.02.2021 11:59:00;73;795;275056;;
Bearb. Playlist;21.02.2021 12:11:00;9;796;275060;;
Mail an Judith (Familienverteiler);21.02.2021 12:14:00;40;797;275062;;
Themen für Mittagessen;21.02.2021 12:39:00;31;798;275066;;
Besprechung Problemdokumentation;21.02.2021 14:00:00;31;799;275069;;
div. Surfen;21.02.2021 16:41:00;73;800;275073;;
Forge of Empires;21.02.2021 17:36:00;56;801;275075;;
Scan div. Radiosender;21.02.2021 18:11:00;58;802;275078;;
Bearbeitung Mails;21.02.2021 19:48:00;73;803;275083;;
Aufwandserfassung / Bearb. Wnidow Logger;21.02.2021 20:54:00;31;804;275089;;
Bearb. Playlist;21.02.2021 22:03:00;9;805;275090;;
Ansehen Jason Lux Livestream;21.02.2021 22:07:00;58;806;275092;;
Posting Zeiten Atariage;21.02.2021 23:11:00;56;807;275096;;
div. Surfen;22.02.2021 07:56:00;73;808;275101;;
Scan div. Radiosender;22.02.2021 08:06:00;58;809;275102;;
Forge of Empires;22.02.2021 08:40:00;56;810;275103;;
Versand Theaterstück an Verwandte;22.02.2021 09:20:00;40;811;275112;;
Ermittlung Gesamtzeit für geplante Projekte;22.02.2021 09:41:00;31;812;275113;;
Bearb. Playlist;22.02.2021 09:51:00;9;813;275114;;
Scootersuche;22.02.2021 19:11:00;20;814;275123;;
Papiersortierung (A-K / A-E);22.02.2021 19:21:00;71;815;275124;;
Papiersortierung (A-B);22.02.2021 20:40:00;36;816;275127;;
Forge of Empires;22.02.2021 20:55:00;56;817;275130;;
Ansehen ZiB 1;22.02.2021 21:25:00;58;818;275131;;
Aufwandserfassung;22.02.2021 21:28:00;31;819;275133;;
Ansehen YouTube-Videos;22.02.2021 22:15:00;73;820;275135;;
div. Surfen;22.02.2021 22:26:00;73;821;275136;;
Scan Hannah Dorman Livestream;22.02.2021 22:30:00;58;822;275138;;
Bearb. Playlist;22.02.2021 22:42:00;9;823;275142;;
Scan Theaterstück Spiel der Bosse Teil 1;23.02.2021 07:25:00;40;824;275146;;
div. Surfen;23.02.2021 09:35:00;73;825;275148;;
Scan div. Radiosender;23.02.2021 09:45:00;58;826;275149;;
Forge of Empires;23.02.2021 10:48:00;56;827;275156;;
Bearbeitung Untersuchung der Prioritätenliste;23.02.2021 11:31:00;31;828;275162;;
Scootersuche;23.02.2021 19:07:00;20;829;275171;;
div. Surfen;23.02.2021 19:24:00;73;830;275174;;
Ansehen ZiB 1;23.02.2021 19:27:00;58;831;275175;;
Forge of Empires;23.02.2021 19:28:00;56;832;275176;;
Bearb. Koordinaten Tier;23.02.2021 19:57:00;20;833;275177;;
Ansehen YouTube-Videos;23.02.2021 20:07:00;73;834;275178;;
Aufwandserfassung;23.02.2021 21:29:00;31;835;275184;;
Scan Jason Lux Livestream;23.02.2021 22:18:00;58;836;275185;;
Scan div. Radiosender;24.02.2021 07:55:00;58;837;275194;;
Forge of Empires;24.02.2021 08:22:00;56;838;275195;;
div. Surfen;24.02.2021 08:45:00;73;839;275199;;
Versand Theaterstück+Liste an Verwandte;24.02.2021 08:53:00;40;840;275200;;
Scootersuche;24.02.2021 18:54:00;20;841;275209;;
div. Surfen;24.02.2021 19:09:00;73;842;275212;;
Forge of Empires;24.02.2021 19:16:00;56;843;275213;;
Bearb. Koordinaten Tier;24.02.2021 19:28:00;20;844;275214;;
Aufwandserfassung;24.02.2021 19:43:00;31;845;275216;;
Ansehen YouTube-Videos;24.02.2021 20:44:00;73;846;275217;;
Ansehen Fernsehsendungen;24.02.2021 21:08:00;58;847;275218;;
Einspielen div. Titel;24.02.2021 21:33:00;79;848;275222;;
Scan Spiel der Bosse Teil 2;25.02.2021 07:31:00;40;849;275226;;
div. Surfen;25.02.2021 09:11:00;73;850;275227;;
Scan div. Radiosender;25.02.2021 09:21:00;58;851;275228;;
Forge of Empires;25.02.2021 10:13:00;56;852;275234;;
Aufsperren Papa;25.02.2021 13:15:00;38;853;275243;;
Scootersuche;25.02.2021 19:10:00;20;854;275247;;
div. Surfen;25.02.2021 19:27:00;73;855;275250;;
Ansehen Fernsehsendungen;25.02.2021 19:30:00;58;856;275251;;
Forge of Empires;25.02.2021 19:32:00;56;857;275252;;
Ansehen YouTube-Videos;25.02.2021 20:47:00;73;858;275253;;
Aufwandserfassung;25.02.2021 21:21:00;31;859;275258;;
Scan Jason Lux Livestream;25.02.2021 21:58:00;58;860;275260;;
Bearb. Playlist;25.02.2021 22:16:00;9;861;275261;;
Bearb. Koordinaten Tier;25.02.2021 22:32:00;20;862;275263;;
div. Surfen;26.02.2021 07:38:00;73;863;275267;;
Scan div. Radiosender;26.02.2021 07:40:00;58;864;275268;;
Surfen Corona-Infektionen;26.02.2021 08:06:00;73;865;275269;;
Forge of Empires;26.02.2021 08:08:00;56;866;275271;;
Bearb. Koordinaten Tier;26.02.2021 08:37:00;20;867;275272;;
div. Surfen;26.02.2021 08:42:00;73;868;275277;;
Versand Scans Dokumente Opa;26.02.2021 08:48:00;40;869;275278;;
Bearb. Playlist;26.02.2021 09:25:00;9;870;275279;;
